Confidence,Set,IOU,TP(%),FP(%),FN,Total TP,Total FP,TOtal FN,All Detections,All GT
0.9,test,0.2,0.8924903722721438,0.10750962772785623,0.1286906290115533,2781,335,401,3116,3182
0.9,test,0.3,0.8899229781771502,0.11007702182284981,0.13125802310654686,2773,343,409,3116,3182
0.9,test,0.4,0.8860718870346598,0.11392811296534018,0.13510911424903724,2761,355,421,3116,3182
0.9,test,0.5,0.8741976893453145,0.1258023106546855,0.14698331193838254,2724,392,458,3116,3182
0.9,train,0.2,0.9068933729386459,0.09310662706135409,0.06330021509781829,8854,909,618,9763,9472
0.9,train,0.3,0.9065860903410837,0.09341390965891631,0.06360749769538052,8851,912,621,9763,9472
0.9,train,0.4,0.9063812352760422,0.0936187647239578,0.063812352760422,8849,914,623,9763,9472
0.9,train,0.5,0.9047423947557104,0.09525760524428967,0.06545119328075387,8833,930,639,9763,9472
0.9,val,0.2,0.873405299313052,0.12659470068694798,0.10860320575727837,2670,387,332,3057,3002
0.9,val,0.3,0.8711154726856395,0.12888452731436048,0.11089303238469088,2663,394,339,3057,3002
0.9,val,0.4,0.8681714098789663,0.1318285901210337,0.11383709519136408,2654,403,348,3057,3002
0.9,val,0.5,0.8573765129211646,0.14262348707883546,0.12463199214916584,2621,436,381,3057,3002
