Confidence,Set,IOU,TP(%),FP(%),FN,Total TP,Total FP,TOtal FN,All Detections,All GT
0.9,test,0.2,0.8907721280602636,0.10922787193973635,0.10734463276836158,2838,348,342,3186,3180
0.9,test,0.3,0.8882611424984307,0.11173885750156937,0.1098556183301946,2830,356,350,3186,3180
0.9,test,0.4,0.8829252981795355,0.11707470182046453,0.11519146264908976,2813,373,367,3186,3180
0.9,test,0.5,0.871939736346516,0.128060263653484,0.12617702448210924,2778,408,402,3186,3180
0.9,train,0.2,0.9174622116149562,0.08253778838504376,0.024960222752585522,9226,830,251,10056,9477
0.9,train,0.3,0.9171638822593476,0.08283611774065235,0.025258552108194113,9223,833,254,10056,9477
0.9,train,0.4,0.9171638822593476,0.08283611774065235,0.025258552108194113,9223,833,254,10056,9477
0.9,train,0.5,0.9171638822593476,0.08283611774065235,0.025258552108194113,9223,833,254,10056,9477
0.9,val,0.2,0.8704944178628389,0.1295055821371611,0.08740031897926635,2729,406,274,3135,3003
0.9,val,0.3,0.8676236044657097,0.13237639553429026,0.09027113237639553,2720,415,283,3135,3003
0.9,val,0.4,0.8615629984051036,0.13843700159489633,0.0963317384370016,2701,434,302,3135,3003
0.9,val,0.5,0.8494417862838916,0.15055821371610845,0.10845295055821372,2663,472,340,3135,3003
