Confidence,Set,IOU,TP(%),FP(%),FN,Total TP,Total FP,TOtal FN,All Detections,All GT
0.9,test,0.2,0.8753125,0.1246875,0.1196875,2801,399,383,3200,3184
0.9,test,0.3,0.87125,0.12875,0.12375,2788,412,396,3200,3184
0.9,test,0.4,0.868125,0.131875,0.126875,2778,422,406,3200,3184
0.9,test,0.5,0.851875,0.148125,0.143125,2726,474,458,3200,3184
0.9,train,0.2,0.895900974025974,0.10409902597402597,0.06473214285714286,8830,1026,638,9856,9468
0.9,train,0.3,0.8953936688311688,0.10460633116883117,0.06523944805194805,8825,1031,643,9856,9468
0.9,train,0.4,0.8947849025974026,0.10521509740259741,0.06584821428571429,8819,1037,649,9856,9468
0.9,train,0.5,0.893060064935065,0.10693993506493507,0.06757305194805195,8802,1054,666,9856,9468
0.9,val,0.2,0.8670093157725667,0.13299068422743335,0.09861869579184067,2699,414,307,3113,3006
0.9,val,0.3,0.864760681015098,0.13523931898490202,0.10086733054930935,2692,421,314,3113,3006
0.9,val,0.4,0.8609058785737231,0.1390941214262769,0.10472213299068422,2680,433,326,3113,3006
0.9,val,0.5,0.8477353035656923,0.15226469643430773,0.11789270799871507,2639,474,367,3113,3006
