Confidence,Set,IOU,TP(%),FP(%),FN,Total TP,Total FP,TOtal FN,All Detections,All GT
0.9,test,0.2,0.914295168762409,0.085704831237591,0.13666446062210458,2763,259,413,3022,3176
0.9,test,0.3,0.9119788219722038,0.08802117802779616,0.13898080741230973,2756,266,420,3022,3176
0.9,test,0.4,0.9076770350761085,0.09232296492389146,0.14328259430840504,2743,279,433,3022,3176
0.9,test,0.5,0.899404367968233,0.10059563203176704,0.15155526141628062,2718,304,458,3022,3176
0.9,train,0.2,0.9124133585381222,0.08758664146187775,0.08202058391094308,8688,834,781,9522,9469
0.9,train,0.3,0.9114681789540012,0.08853182104599874,0.08296576349506406,8679,843,790,9522,9469
0.9,train,0.4,0.9107330392774627,0.08926696072253729,0.0837009031716026,8672,850,797,9522,9469
0.9,train,0.5,0.9085276202478471,0.09147237975215292,0.08590632220121823,8651,871,818,9522,9469
0.9,val,0.2,0.8964237516869096,0.10357624831309042,0.11740890688259109,2657,307,348,2964,3005
0.9,val,0.3,0.893387314439946,0.10661268556005399,0.12044534412955465,2648,316,357,2964,3005
0.9,val,0.4,0.8910256410256411,0.10897435897435898,0.12280701754385964,2641,323,364,2964,3005
0.9,val,0.5,0.8829284750337382,0.1170715249662618,0.13090418353576247,2617,347,388,2964,3005
