Confidence,Set,IOU,TP(%),FP(%),FN,Total TP,Total FP,TOtal FN,All Detections,All GT
0.9,test,0.2,0.8701501877346683,0.12984981226533165,0.1251564455569462,2781,415,400,3196,3181
0.9,test,0.3,0.8663954943679599,0.13360450563204004,0.12891113892365458,2769,427,412,3196,3181
0.9,test,0.4,0.8623279098873592,0.1376720901126408,0.13297872340425532,2756,440,425,3196,3181
0.9,test,0.5,0.8473091364205256,0.15269086357947434,0.14799749687108887,2708,488,473,3196,3181
0.9,train,0.2,0.8919737506309945,0.10802624936900555,0.06420999495204442,8835,1070,636,9905,9471
0.9,train,0.3,0.891065118626956,0.10893488137304391,0.06511862695608278,8826,1079,645,9905,9471
0.9,train,0.4,0.8906612821807168,0.10933871781928318,0.06552246340232205,8822,1083,649,9905,9471
0.9,train,0.5,0.8886420999495205,0.11135790005047956,0.06754164563351843,8802,1103,669,9905,9471
0.9,val,0.2,0.8542340012928248,0.1457659987071752,0.11603102779573368,2643,451,359,3094,3002
0.9,val,0.3,0.850355526826115,0.14964447317388493,0.11990950226244344,2631,463,371,3094,3002
0.9,val,0.4,0.8471234647705236,0.15287653522947642,0.12314156431803491,2621,473,381,3094,3002
0.9,val,0.5,0.8364576599870718,0.16354234001292825,0.13380736910148675,2588,506,414,3094,3002
