Confidence,Set,IOU,TP(%),FP(%),FN,Total TP,Total FP,TOtal FN,All Detections,All GT
0.9,test,0.2,0.8905296950240771,0.10947030497592296,0.13162118780096307,2774,341,410,3115,3184
0.9,test,0.3,0.8869983948635634,0.1130016051364366,0.13515248796147672,2763,352,421,3115,3184
0.9,test,0.4,0.8837881219903692,0.11621187800963081,0.13836276083467094,2753,362,431,3115,3184
0.9,test,0.5,0.8715890850722311,0.12841091492776885,0.15056179775280898,2715,400,469,3115,3184
0.9,train,0.2,0.902320281748498,0.09767971825150197,0.07841309301843795,8711,943,757,9654,9468
0.9,train,0.3,0.9016987777087218,0.09830122229127823,0.07903459705821421,8705,949,763,9654,9468
0.9,train,0.4,0.9008701056556868,0.09912989434431324,0.07986326911124922,8697,957,771,9654,9468
0.9,train,0.5,0.8989020095297287,0.10109799047027139,0.08183136523720738,8678,976,790,9654,9468
0.9,val,0.2,0.8783518639633747,0.12164813603662525,0.10464355788096795,2686,372,320,3058,3006
0.9,val,0.3,0.8763897972531066,0.1236102027468934,0.1066056245912361,2680,378,326,3058,3006
0.9,val,0.4,0.8721386527141923,0.12786134728580772,0.11085676913015043,2667,391,339,3058,3006
0.9,val,0.5,0.8616742969260955,0.13832570307390452,0.12132112491824722,2635,423,371,3058,3006
