Confidence,Set,IOU,TP(%),FP(%),FN,Total TP,Total FP,TOtal FN,All Detections,All GT
0.9,test,0.2,0.8940910558605102,0.10590894413948983,0.13367775266386825,2769,328,414,3097,3183
0.9,test,0.3,0.8902163383919922,0.10978366160800775,0.13755247013238617,2757,340,426,3097,3183
0.9,test,0.4,0.8873103002906038,0.11268969970939618,0.14045850823377462,2748,349,435,3097,3183
0.9,test,0.5,0.8743945753955441,0.12560542460445592,0.15337423312883436,2708,389,475,3097,3183
0.9,train,0.2,0.9062467301454431,0.09375326985455687,0.08391754734749399,8661,896,802,9557,9463
0.9,train,0.3,0.9058281887621639,0.09417181123783615,0.08433608873077325,8657,900,806,9557,9463
0.9,train,0.4,0.905200376687245,0.09479962331275504,0.08496390080569216,8651,906,812,9557,9463
0.9,train,0.5,0.9030030344250288,0.09699696557497123,0.08716124306790834,8630,927,833,9557,9463
0.9,val,0.2,0.8846153846153846,0.11538461538461539,0.11206896551724138,2668,348,338,3016,3006
0.9,val,0.3,0.8826259946949602,0.11737400530503979,0.11405835543766578,2662,354,344,3016,3006
0.9,val,0.4,0.878315649867374,0.12168435013262599,0.118368700265252,2649,367,357,3016,3006
0.9,val,0.5,0.8673740053050398,0.13262599469496023,0.12931034482758622,2616,400,390,3016,3006
