,epoch,tag,step_value
117,9,mrcnn_class_loss,0.1825670301914215
118,9,mrcnn_bbox_loss,0.19440576434135437
119,9,mrcnn_mask_loss,0.3518042266368866
120,10,val_loss,1.0315028429031372
121,10,val_rpn_class_loss,0.10743549466133118
122,10,val_rpn_bbox_loss,0.26330649852752686
123,10,val_mrcnn_class_loss,0.13031937181949615
124,10,val_mrcnn_bbox_loss,0.19459670782089233
125,10,val_mrcnn_mask_loss,0.3358288109302521
126,10,loss,0.9236882328987122
127,10,rpn_class_loss,0.022686809301376343
128,10,rpn_bbox_loss,0.1857536882162094
129,10,mrcnn_class_loss,0.15980742871761322
130,10,mrcnn_bbox_loss,0.1997600793838501
131,10,mrcnn_mask_loss,0.3556644022464752
132,11,val_loss,1.0267105102539062
133,11,val_rpn_class_loss,0.024364907294511795
134,11,val_rpn_bbox_loss,0.22052296996116638
135,11,val_mrcnn_class_loss,0.21831005811691284
136,11,val_mrcnn_bbox_loss,0.221084862947464
137,11,val_mrcnn_mask_loss,0.3424115777015686
138,11,loss,0.9493287801742554
139,11,rpn_class_loss,0.029616408050060272
140,11,rpn_bbox_loss,0.19106298685073853
141,11,mrcnn_class_loss,0.18947771191596985
142,11,mrcnn_bbox_loss,0.19813865423202515
143,11,mrcnn_mask_loss,0.3410170078277588
144,12,val_loss,0.9172425866127014
145,12,val_rpn_class_loss,0.04189541935920715
146,12,val_rpn_bbox_loss,0.1741543859243393
147,12,val_mrcnn_class_loss,0.17199265956878662
148,12,val_mrcnn_bbox_loss,0.18648017942905426
149,12,val_mrcnn_mask_loss,0.3427037298679352
150,12,loss,0.8304921984672546
151,12,rpn_class_loss,0.018539249897003174
152,12,rpn_bbox_loss,0.15718312561511993
153,12,mrcnn_class_loss,0.155221626162529
154,12,mrcnn_bbox_loss,0.17871220409870148
155,12,mrcnn_mask_loss,0.3208198845386505
156,13,val_loss,0.7667624354362488
157,13,val_rpn_class_loss,0.017855791375041008
158,13,val_rpn_bbox_loss,0.1253567934036255
159,13,val_mrcnn_class_loss,0.16222821176052094
160,13,val_mrcnn_bbox_loss,0.16452226042747498
161,13,val_mrcnn_mask_loss,0.2967831790447235
162,13,loss,0.8524008393287659
163,13,rpn_class_loss,0.022888435050845146
